ID,Word,POS,Oxford 5000 Meanings,Oxford Score,Oxford Status,CLD Meanings,CLD Score,CLD Status,Sam Meanings,Sam Score,Sam Status,Muller AST Meanings,Muller AST Score,Muller AST Status,Muller A4 Meanings,Muller A4 Score,Muller A4 Status,Muller 300k Meanings,Muller 300k Score,Muller 300k Status,Shkolnik Meanings,Shkolnik Score,Shkolnik Status
105,pleasure,"noun, verb","удовольствие; развлечение | воля, соиз-воление; желание | наслаж-дение | доставлять удовольствие; удов-летворять (особ. сексуально) | нахо-дить удовольствие (in) | искать развлечений pleasureпboat [ /G02ple/G0F/G04b/G04/G03t] n лодка; яхта; прогулочный катер pleasureпground [ /G02ple/G0F/G04/G1Dra/G03nd] n",10.0,Сбалансирован (идеальный порядок),"удовольствие | наслаждение, удовольствие | удовольствие, развлечение",5.0,Недостаточен (пропущена часть речи),удовольствие | мне очень приятно вас видеть | наслаждение | доставлять удовольствие | часто | находить удовольствие,8.5,Сбалансирован (идеальный порядок),удово льствие,1.8,Недостаточен (пропущена часть речи),удовольствие | развлечение | с удовольствием | доставлять удовольствие | удов летворять | сексуально,9.5,Избыточен (сильно перегружен),"удо воль ст вие, на слаж де ние | жу ир | си - ба рит | до став лять или на хо дить удо воль ст вие | во ля, со из во ле ние | же ла - ние",5.7,Удовлетворительный,удовольствие,2.5,Недостаточен (пропущена часть речи)
106,notebook,noun,"записная книжка; тетрадь | информ.  ноут-бук, портативный компьютер",7.5,Сбалансирован (хороший),"тетрадь, блокнот | переносной компьютер",7.5,Сбалансирован (хороший),"тетрадь | записная книжка | блокнот | портативныи | компьютер, ноутбук",10.0,Сбалансирован (идеальный порядок),ноутбу к,3.5,Недостаточен (только 1 значение),"записная книжка | тетрадь | информ | ноут бук, портативныи | компьютер",10.0,Сбалансирован (идеальный порядок),за пис ная книж ка | те т радь,5.0,Удовлетворительный,ноутбук,3.5,Недостаточен (только 1 значение)
107,fixed,"noun, adjective","от  fix 1 | неподвижный, постоянный; закреплённый; стационарный | неизменный, твёрдый | непреложный | навяз-чивый | подстроенный, под-тасованный",8.5,Сбалансирован (идеальный порядок),"установленный, назначенный | закрепленный",3.5,Удовлетворительный,,0.0,Отсутствует в словаре,неподви жныи | устано вленныи,5.0,Удовлетворительный,от | неподвижныи | постоянныи | закрепле | нныи | стационарныи,5.0,Избыточен (сильно перегружен),не по движ ныи | по сто ян ныи | за креп лен ныи | ста - ци о нар ныи | не из мен ныи | не по движ ные звез ды,6.5,Сбалансирован (хороший),,0.0,Отсутствует в словаре
108,death,noun,"смерть; поражение в правах граж-данства; на краюгибели | конец, гибель | употр.  для  усиления :; это меняужасно огорчит | attr. смертный, смертельный",10.0,Сбалансирован (идеальный порядок),смерть,5.0,Недостаточен (только 1 значение),смерть | гибель | его внезапная смерть | наи | ти свою смерть | смертная казнь,10.0,Сбалансирован (идеальный порядок),смерть | казни ть | умере ть от го лода,8.0,Сбалансирован (хороший),смерть | естественная (насильствен ная) смерть | гражданская смерть | поражение в правах граж данства | наи | ти свою смерть,10.0,Избыточен (сильно перегружен),смерть | по ра же ние в пра вах граж дан ства | граж дан ская смерть | зо ол | ши - по хвост  ст ра лии | скии,10.0,Избыточен (сильно перегружен),"смерть | казнить | смертность, процент смерт ности",8.0,Сбалансирован (хороший)
109,square,noun,"квадрат | предмет квадратной формы | клетка; поле (шахматное  и т. п. ) | академиче-ская шапочка с плоским квадрат-ным верхом | площадь, сквер | квартал (города )",10.0,Сбалансирован (идеальный порядок),квадрат | площадь | квадрат величины | квадратный,10.0,Сбалансирован (идеальный порядок),квадрат | прямоугольник | предмет четыре | хугольнои | формы | квартал (города,9.0,Избыточен (сильно перегружен),квадра тныи | квадра т | прямо уго льник | пло щадь | сквер,6.5,Сбалансирован (хороший),квадрат | предмет квадратнои | формы | кусок стекла | клетка | поле (шахматное и т,10.0,Избыточен (сильно перегружен),рас счи тать ся | сво дить сче ты | от чет | тор го выи | ба ланс | от кры тыи,6.5,Избыточен (сильно перегружен),а квадратныи | квадрат | прямоуголь ник | площадь | сквер,7.5,Сбалансирован (хороший)
110,skirt,"noun, verb","юбка | пола , подол | (часто  pl) край, окраина | огибать; идтивдоль края | быть расположенным на опушке, на краю | проходить стороной, об-ходить",10.0,Сбалансирован (идеальный порядок),"юбка | уклоняться, не затрагивать | огибать",4.0,Недостаточен (пропущена часть речи),"юбка | пола | подол | быть расположенным по границе, по краю | проходить, обходить сторонои | опушка (леса",8.8,Сбалансирован (идеальный порядок),ю бка,1.8,Недостаточен (пропущена часть речи),"юбка | широкие брюки | пола, подол | огибать | идти вдоль края | быть расположенным на опушке, на краю",9.5,Сбалансирован (идеальный порядок),"по ла, по дол | юб ка | жен щи на | ид ти вдоль края | окаи | м лять",7.2,Сбалансирован (хороший),юбка,2.5,Недостаточен (пропущена часть речи)
111,clerk,noun,"клерк, письмово-дитель; конторский служащий | чиновник; секретарь | писарь | продавец (в магазине или гостинице ) | духовное лицо; образованный или  грамотный чело-век",10.0,Сбалансирован (идеальный порядок),"клерк, служащий | продавец",7.5,Сбалансирован (хороший),"клерк | писарь | секретарь, регистратор (в совете, суде и т п | канад портье | работать клерком",10.0,Сбалансирован (идеальный порядок),чино вник | слу жащии,5.0,Удовлетворительный,"клерк, письмово дитель | конторскии | служащии | ком | корреспондент | чиновник",8.0,Избыточен (сильно перегружен),"клерк, кон тор - скии | слу жа щии | чи нов ник | се к ре тарь | уп рав ля ю щии | де ла ми, се к ре тарь го род ско го уп рав ле ния",8.0,Сбалансирован (хороший),чиновник | служа щии,6.5,Сбалансирован (хороший)
112,bare,adjective,"голый, обнажённый; разоблачить | пустой; лишённый (of — чего-л.); бедный | неприкрашенный, простой | ед-вадостаточный | малейший | редк.  поношенный",10.0,Сбалансирован (идеальный порядок),"голый, босой | голый, неприкрытый | пустой | минимальный, скудный | обнажать, скалить",10.0,Сбалансирован (идеальный порядок),голыи | голыми руками | пустои | вскрытыи | эл неизолированныи | лише,6.5,Сбалансирован (хороший),го лыи | обнаже | нныи,6.5,Сбалансирован (хороший),"голыи | обнаже | нныи | босые ноги | раскрыть, обнаружить | разоблачить",6.5,Избыточен (сильно перегружен),го лыи | об на жен - ныи | эл | не изо ли ро ван ныи | бо сые но ги | го - лыи,6.5,Сбалансирован (хороший),голыи | обнаже | н ныи | босои | с обнаже | ннои,6.5,Сбалансирован (хороший)
113,confused,"noun, adjective",от confuse | смущённый | спутанный,8.5,Сбалансирован (хороший),"сбитый с толку, запутавшийся | сбивчивый, путаный",7.5,Сбалансирован (хороший),смуще | нныи | поставленныи | в тупик | это смущало его | спутанныи,6.5,Сбалансирован (хороший),,0.0,Отсутствует в словаре,"от | смуще | нныи | сму титься, спутаться | спутанныи | беспорядочная масса",5.0,Удовлетворительный,спу тан - ныи | бес по ря доч ная мас - са | бес связ ныи | рас сказ | ту ман ныи | от вет,6.5,Сбалансирован (хороший),,0.0,Отсутствует в словаре
114,diagnose,verb,ставить ди-агноз,7.5,Удовлетворительный,ставить диагноз,7.5,Удовлетворительный,"ставить диагноз, диагностировать | распознавать | обнаруживать",8.0,Сбалансирован (хороший),ста вить диа гноз,6.0,Удовлетворительный,ставить ди агноз,7.5,Удовлетворительный,ста вить ди - а гноз,6.0,Удовлетворительный,,0.0,Отсутствует в словаре
115,discretion,noun,"благора-зумие, осторожность | свобода действий; усмот-рение",7.5,Сбалансирован (хороший),"осторожность, осмотрительность | усмотрение, право решать",7.5,Сбалансирован (хороший),"благоразумие | могу я положиться на ваше благоразумие | свобода деи | ствии | возраст, с которого человек несе | т ответственность за свои поступки",7.5,Сбалансирован (хороший),такт | сде ржанность | на ва ше усмотре ние,6.5,Сбалансирован (хороший),"благора зумие, осторожность | возраст (в Англии | лет), с ко торого человек считается ответ ственным за свои поступки | вести себя осторожно, благо разумно | проявлять благо разумие | свобода деи",8.0,Избыточен (сильно перегружен),"бла го - ра зу мие, ос то рож ность",3.5,Недостаточен (только 1 значение),такт | сдержанность | на ваше усмотрение | различать | предпочтение | дис криминация,7.5,Сбалансирован (хороший)
116,proportion,"noun, verb","пропор-ция; количественное (со)отношение | правильное соотношение, сораз-мерность, пропорциональность; соответственно; чрезмерно | pl размер(ы) | соразмерять (to — с чемЗл. ) | распределять | мат. пропорция, тройное правило",10.0,Сбалансирован (идеальный порядок),"часть, доля",1.8,Недостаточен (пропущена часть речи),"часть, доля | пропорция | количественное соотношение | соразмерять | дозировать | распределять",8.3,Сбалансирован (хороший),"пропо рция, отноше ние",1.8,Недостаточен (пропущена часть речи),"пропор ция | количественное (со)отношение | правильное соотношение, сораз мерность, пропорциональность | соразмерять | с чемл | распределять",9.5,Сбалансирован (идеальный порядок),"про - пор ция, ко ли че ст вен ное от но ше - ние | со раз мер ность | раз мер, ме ра",4.0,Недостаточен (пропущена часть речи),"пропор ция, отношение",2.5,Недостаточен (пропущена часть речи)
117,wire,noun,проволока; провод | телеграф | ( преим.   )  телеграмма | attr. проволоч-ный,10.0,Сбалансирован (идеальный порядок),"проволока | электрический провод | подсоединять, прокладывать (проводку) | скреплять проволокой | телеграфировать",10.0,Сбалансирован (идеальный порядок),проволока | колючая проволока | электрическии | провод | телеграфная или телефонная связь | телеграмма,9.0,Сбалансирован (идеальный порядок),про волока | про вод | телегра мма | телеграфи ровать,6.5,Сбалансирован (хороший),"проволока | провод | телеграф | по телеграфу, теле граммои | я отвечу те леграммои | телеграмма",10.0,Избыточен (сильно перегружен),"про во ло ка, про - вод | пе рен | на жи - мать таи | ные пру жи ны | вли ять на ход де ла | те ле  ма",6.5,Сбалансирован (хороший),проволока | провод | телеграмма | телеграфировать | беспроволочныи | радио,10.0,Сбалансирован (идеальный порядок)
118,boundary,noun,"граница, межа | attr. пограничный",7.5,Сбалансирован (хороший),граница | предел,7.5,Сбалансирован (хороший),"граница | межа | граница поля | удар за линию поля | предел, граница",10.0,Сбалансирован (идеальный порядок),грани ца,3.5,Недостаточен (только 1 значение),"граница, межа | пограничныи | пограничные огни (аэродрома",8.0,Сбалансирован (хороший),"гра ни ца, ме жа | по гра нич ныи | по гра нич ные ог ни (аэ ро дро ма",6.5,Сбалансирован (хороший),граница,5.0,Недостаточен (только 1 значение)
119,participation,noun,участие; соучастие,10.0,Удовлетворительный,,0.0,Отсутствует в словаре,участие,10.0,Удовлетворительный,уча стие,8.5,Удовлетворительный,участие | соучастие,10.0,Сбалансирован (хороший),уча с тие | со уча с тие,7.5,Сбалансирован (хороший),,0.0,Отсутствует в словаре
120,pair,"noun, verb","пара | вещь, состоящая из двух частей; парные предметы; пара | (супружеская) чета; же-них с невестой | располагать(ся) парами; под-бирать под пару | соединять(ся) подвое | сочетать(ся) браком",10.0,Сбалансирован (идеальный порядок),пара,2.5,Недостаточен (пропущена часть речи),"пара | парные предметы | вещь, состоящая из двух частеи | располагать(ся) парами | подбирать под пару | соединять по два",10.0,Сбалансирован (идеальный порядок),па ра | чета,3.0,Недостаточен (пропущена часть речи),"пара | парами | вещь, состоящая из двух частеи | располагать(ся) парами | под бирать под пару | соединять(ся) по двое",9.5,Избыточен (сильно перегружен),"па ра | че та | па - ра ми | рас по ла гать па ра ми | под би - рать под па ру | со еди нять(ся), со че тать(ся) бра ком",7.0,Сбалансирован (хороший),пара | чета,3.8,Недостаточен (пропущена часть речи)
121,wing,noun,"крыло; to add (или; ускорять; б)  переезжать с места на место; путешествовать | архит.  флигель, крылодома | крайний на-падающий ( в футболе  и т. п. ) | б) ждать своегочаса, быть наготове | кры-ло  (политической  партии ) | фланг",10.0,Сбалансирован (идеальный порядок),"крыло | крыло, группировка",7.5,Сбалансирован (хороший),"крыло | расправить крылья | крыло (самоле | та | флигель, крыло (дома | группировка",9.0,Избыточен (сильно перегружен),крыло | фли гель | фланг | театр кули сы,8.0,Сбалансирован (хороший),крыло | или | придавать крылья | ускорять | а) лететь | переезжать с места на место,9.0,Избыточен (сильно перегружен),кры ло | по эт | бы с тро но гии | бы с т рыи,6.5,Сбалансирован (хороший),крыло | фли гель | фланг | театр | кулисы,8.0,Сбалансирован (хороший)
122,same,"adjective, pronoun, adverb","однои тоже, тоже самое | таким же образом, так же; б) всёЧтаки; тем не менее; б) тем не менее, всёЧтаки | тот (же) самый; одинаковый | вышеупомянутый",10.0,Сбалансирован (идеальный порядок),,0.0,Отсутствует в словаре,тот же самыи | одни и те же причины порождают одинаковые следствия | одинаковыи | сходныи | подобныи | идентичныи,6.4,Недостаточен (пропущена часть речи),"тот же, одина ковыи | мне э то безразли чно | все | же",6.7,Сбалансирован (хороший),тот (же) самыи | одинаковыи | одни и те же причины по рождают одинаковые следствия | эти же наблюдения верны и в отношении других случаев | они принадлежат к однои | и тои,6.4,Избыточен (сильно перегружен),"мо но тон но, од но об раз но | жив | тон, от те нок (о кра с ке | кла ви ша | клин | шпон ка",6.4,Избыточен (сильно перегружен),"тот же, одинако выи | мне это безразлично | все | же",6.7,Сбалансирован (хороший)
123,surplus,"noun, adjective","излишек, оста-ток | излишний, избыточный; до-бавочный | полит.Зэк.  прибавочный",10.0,Сбалансирован (хороший),"излишек, избыток",5.0,Недостаточен (только 1 значение),"излишек, избыток | эк нераспределе | нная прибыль | излишнии | избыточныи | добавочныи",8.0,Сбалансирован (хороший),изли шек | изли шнии | приба вочная сто имость,6.5,Сбалансирован (хороший),"излишек, оста ток | излишнии | избыточныи | до бавочныи | ком плект запасного обмундирования | полит",8.0,Сбалансирован (хороший),"из ли шек, ос та - ток | из лиш нии | из бы точ - ныи | до ба воч ныи | при ба воч ныи | при ба воч - ная сто и мость",8.0,Сбалансирован (хороший),излишек | а излишнии | при бавочная стоимость,8.0,Сбалансирован (хороший)
124,harassment,noun,"травля | беспокой-ство, забота",7.5,Сбалансирован (хороший),преследование,5.0,Недостаточен (только 1 значение),"беспокои | ство, забота | раздражение | преследование | домогательство | сексуальные домогательства",7.5,Сбалансирован (хороший),,0.0,Отсутствует в словаре,"травля | сексуальные домогатель ства | на работе | беспокои | ство, забота",8.0,Сбалансирован (хороший),"бес по - кои | ст во, за бо та",5.0,Удовлетворительный,,0.0,Отсутствует в словаре
125,tongue,noun,"язык | язык (как  кушанье ) | речь, манера говорить | язык (речь ) | что-л., имеющее форму язы-ка, напоминающее язык, напр.,  язык пламени, колокола; язычок (духовоЗ го инструмента,  обуви ) | геогр. коса",10.0,Сбалансирован (идеальный порядок),"язык | язык, речь",7.5,Сбалансирован (хороший),"язык | прище | лкнуть языком | речь, язык | роднои | манера говорить",8.0,Сбалансирован (хороший),язы к,3.5,Недостаточен (только 1 значение),язык | или | обложенныи | язык (у больного | показывать язык (врачу или из озорства | язык (как кушанье,8.0,Избыточен (сильно перегружен),при щелк нуть язы ком | при стук нуть каб лу ка ми | точ но со от вет - ст во вать | иметь ус пех | злои | язык,6.5,Избыточен (сильно перегружен),язык,5.0,Недостаточен (только 1 значение)
126,adult,"noun, adjective","взрослый, совер-шеннолетний, зрелый человек | взрослый, совершеннолет-ний, зрелый | для взрослых",10.0,Сбалансирован (хороший),взрослый | для взрослых,7.5,Сбалансирован (хороший),взрослыи | совершеннолетнии | зрелыи | человек | школа для взрослых | преступник,6.5,Сбалансирован (хороший),взро слыи,3.5,Недостаточен (только 1 значение),взрослыи | совер шеннолетнии | зрелыи | человек | совершеннолет нии | для взрослых,7.5,Сбалансирован (хороший),взрос лыи | со - вер шен но лет нии | зре лыи | че ло - век,6.5,Сбалансирован (хороший),взрослыи,3.5,Недостаточен (только 1 значение)
127,consult,verb,советоваться; консультироваться; обратиться к врачу | совещаться | справляться | принимать во внимание,10.0,Сбалансирован (идеальный порядок),"справляться, узнавать | советоваться",7.5,Сбалансирован (хороший),советоваться | консультироваться | справляться | он посмотрел на свои часы,10.0,Сбалансирован (идеальный порядок),сове товаться | справля ться (по книгам,5.0,Удовлетворительный,советоваться | консультироваться | по советоваться с врачом | обратиться к врачу | совещаться | справляться,10.0,Сбалансирован (идеальный порядок),"со ве то вать ся | со ве щать ся | справ лять ся | справ лять ся в сло ва ре, ис кать нуж ное сло во в сло ва ре | при - ни мать в со об ра же ние",6.5,Сбалансирован (хороший),совето ваться | справляться (по книгам,6.0,Удовлетворительный
128,teaching,noun,"обучение | учение, доктрина",7.5,Сбалансирован (хороший),преподавание,5.0,Недостаточен (только 1 значение),"преподавание, обучение | часто | учение | доктрина | догма",9.0,Сбалансирован (идеальный порядок),обуче ние | чаще р | уче ние,6.5,Сбалансирован (хороший),"от | обучение | стать преподавателем | учение, доктрина",6.0,Удовлетворительный,"обу че ние | уче ние, до к т ри на",5.0,Удовлетворительный,,0.0,Отсутствует в словаре
129,hurt,"noun, verb","повреждение; боль; рана | вред, ущерб | обида | причинить боль; по-вредить; ушибить | причинять вред, ущерб | задевать, обижать, делать больно",10.0,Сбалансирован (идеальный порядок),"причинять боль, наносить повреждение | болеть, причинять боль | обижать, задевать | причинять ущерб, подрывать | раненый, пострадавший | обиженный",8.5,Сбалансирован (идеальный порядок),повреждение | травма | рана | повредить | ранить | ушибить,8.3,Избыточен (сильно перегружен),причиня ть боль | задева ть | причиня ть боль | задева ть,6.4,Недостаточен (пропущена часть речи),повреждение | боль | рана | причинить боль | по вредить | ушибить,10.0,Сбалансирован (идеальный порядок),по вреж де ние | боль | ра на | при чи нить боль | по вре дить | уши бить,7.8,Сбалансирован (хороший),причи нять боль | задевать,3.2,Недостаточен (пропущена часть речи)
130,mill,noun,"мельница | мель-ница; дробилка | фабрика, завод | (прокатный) стан | пресс ( для выжимания  растительного  масла ) | фреза",10.0,Сбалансирован (идеальный порядок),мельница | кофемолка | фабрика | молоть,10.0,Сбалансирован (идеальный порядок),мельница | дробилка | фабрика | металлургическии | завод | сахарныи,10.0,Избыточен (сильно перегружен),фа брика | ме льница,5.0,Удовлетворительный,"мельница | мель ница | дробилка | фабрика, завод | прокатныи | стан",10.0,Избыточен (сильно перегружен),про кат ныи | плю щиль ныи | стан | мель ни ца | фа б рич ныи | или за вод скои,7.5,Сбалансирован (хороший),фабрика | мель ница | мельник,9.0,Сбалансирован (хороший)
131,consent,noun,согласие; полу-чить чьёЧл. согласие | разрешение,7.5,Сбалансирован (хороший),согласие | соглашаться,7.5,Сбалансирован (хороший),"согласие | с вашего согласия | разрешение | брачныи | возраст | соглашаться, давать согласие",9.0,Сбалансирован (идеальный порядок),согла сие | соглаша ться,5.0,Удовлетворительный,согласие | вынужденное согла сие | не давать со гласия | или | с общего согласия | быть одобренным кемл,8.0,Сбалансирован (хороший),"со гла шать ся, ус ту пать | со гла сие | не о хот ное",6.5,Сбалансирован (хороший),согла сие | соглашаться,6.0,Удовлетворительный
132,investment,noun,"инве ц стиция; вклад | (капитало)вложе-ние, помещение денег, инвестирова-ние | предприятие или  бумаги, в которые вложены деньги | одежда, облачение | облечение полномо-чиями, властью и т.  п. | осада, блокада",10.0,Сбалансирован (идеальный порядок),"инвестиции | задел, вклад",7.5,Сбалансирован (хороший),"инвестирование | выгодное помещение капитала | инвестиции, капиталовложения | облечение, наделение (полномочиями, властью и т п",8.5,Сбалансирован (идеальный порядок),"капитало)- вложе ние, инвести ция",5.0,Недостаточен (только 1 значение),"капиталовложение | инве стиция | вклад | капитало)вложе ние, помещение денег, инвестирова ние | предприятие или бумаги, в которые вложены деньги | одежда, облачение",8.5,Сбалансирован (идеальный порядок),"ка - пи та ло вло же ние, по ме ще ние де - нег, ин ве с ти ро ва ние | ин ве с ти ция | вклад | пред при я тие, в ко то рое вло же ны день ги | ин ве с ти - ци он ныи | банк",9.0,Сбалансирован (идеальный порядок),"ка питало)вложение, инвести ция",3.5,Недостаточен (только 1 значение)
133,rational,adjective,"разумный; целе-сообразный, рациональный | мат. рациональный",7.5,Сбалансирован (хороший),"разумный, рациональный | благоразумный, рассудительный",7.5,Сбалансирован (хороший),разумныи | мыслящии | благоразумныи | рассудительныи | рациональныи,6.5,Сбалансирован (хороший),разу мныи | рациона льныи,5.0,Удовлетворительный,разумныи | целе сообразныи | рациональныи | мат | рациональ ная функция,7.5,Сбалансирован (хороший),ра зум - ныи | ра ци о наль ныи | мат | пра виль ная дробь | уме рен - ныи,7.5,Сбалансирован (хороший),разумныи | рациональныи,5.0,Удовлетворительный
134,disappointing,adjective,"неутешительный, разочаровы-вающий; печальный",7.5,Удовлетворительный,разочаровывающий,7.5,Удовлетворительный,неутешительныи | вызывающии | разочарование,6.5,Сбалансирован (хороший),,0.0,Отсутствует в словаре,от | неутешительныи | разочаровы вающии | печальныи,6.0,Удовлетворительный,не уте ши тель ныи | ра зо ча ро вы ва ю - щии,7.5,Сбалансирован (хороший),,0.0,Отсутствует в словаре
135,resign,verb,"отказываться (от должности ); слагать (с себя обязанЗ ности ); уходить в отставку | ус-тупать, передавать ( обязанности, права; to — кому-л.) | отказываться (от  мысли  и т.  п.) | вновь подписы-вать",10.0,Сбалансирован (идеальный порядок),увольняться,5.0,Недостаточен (только 1 значение),"отказываться от должности | уи | ти в отставку | уступать, примиряться | отказываться (от права и т п",9.0,Сбалансирован (идеальный порядок),"уходи ть в отста вку | подчиня ться, покоря ться",5.0,Удовлетворительный,"отказываться (от должности | слагать (с себя обязан ности | уходить в отставку | ус тупать, передавать (обязанности, права | комул | отказываться (от мысли и т",10.0,Сбалансирован (идеальный порядок),"от ка зы вать ся (от долж но с ти, пра ва | сла гать (с се бя обя зан но с ти | ухо дить (в от став - ку | ус ту пать, пе ре да вать ко му-ли бо (обя зан но с ти, пра ва | ос та вить вся кую на деж - ду | под чи нять ся, по - ко рять ся",8.0,Сбалансирован (хороший),"уходить в от ставку | подчи няться, покоряться | отставка | за явление об отставке | покор ность | смирение",8.0,Сбалансирован (хороший)
136,accessible,adjective,доступ-ный (to); достижимый | поддающийся; податливый; взяточник,7.5,Сбалансирован (хороший),доступный,5.0,Недостаточен (только 1 значение),доступныи | быть легко доступным | общедоступныи | поддающии | ся (влиянию | удобныи,6.5,Сбалансирован (хороший),досту пныи,3.5,Недостаточен (только 1 значение),доступ ныи | достижимыи | доступныи | широкои | публике | поддающии,8.0,Сбалансирован (хороший),до - ступ ныи | до сти жи мыи | под да - ю щии | ся | по дат ли выи,6.5,Сбалансирован (хороший),,0.0,Отсутствует в словаре
137,hospital,noun,"больница, гос-питаль | богадельня; благотворитель-ное заведение | attr. госпитальный, больничный; санитарный",10.0,Сбалансирован (хороший),больница,5.0,Недостаточен (только 1 значение),больница | лечебница | глазная больница | госпиталь | лазарет,9.0,Сбалансирован (идеальный порядок),больни ца | го спиталь,5.0,Удовлетворительный,"больница, гос питаль | лежать в больнице | богадельня | благотворитель ное заведение | госпитальныи | больничныи",9.0,Сбалансирован (идеальный порядок),"боль ни ца, гос пи таль",5.0,Недостаточен (только 1 значение),больница | госпиталь,6.5,Сбалансирован (хороший)
138,something,noun,"что-то, кое-что, что-нибудь; б)  нечто осо-бенное, что-л. замечательное | нечто (особенное)",7.5,Сбалансирован (хороший),"что-то, что-нибудь, кое-что",5.0,Недостаточен (только 1 значение),немного | на вкус это немного похоже на клубнику | примерно | мы отправились где-то в начале шестого | сильно | что-то ужасное,6.5,Избыточен (сильно перегружен),"что -то, ко е-что , не что",5.0,Недостаточен (только 1 значение),"что то, коечто, чтонибудь | а) что нибудь другое | нечто осо бенное, чтол | замечательное | замышлять чтото недоброе | он зани мает какуюто должность в Архиве",10.0,Избыточен (сильно перегружен),"с ним чтото не лад но | в чем де ло | не кс та ти | не свое вре - мен но | оту чить, за ста вить от - вык нуть (от ка кои | ли бо при выч - ки",6.5,Избыточен (сильно перегружен),,0.0,Отсутствует в словаре
139,elect,adjective,"избранный, луч-ший | избранный ( но  ещё не  встуЗ пивший в  должность ) | как  сущ.",10.0,Сбалансирован (хороший),"избирать, выбирать",5.0,Недостаточен (только 1 значение),выбранныи | на должность | избранныи | но еще | не вступившии | в должность,7.5,Сбалансирован (хороший),"выбира ть, избира ть",3.5,Недостаточен (только 1 значение),избранныи | луч шии | но еще | не всту пившии | в должность | как сущ,7.5,Избыточен (сильно перегружен),из би рать | вы би - рать (го ло со ва ни ем | на зна чать (на долж ность | ре - шать | из бран ныи | но еще не всту пив шии,6.5,Сбалансирован (хороший),"выбирать, изби рать | выборы | всеобщие выбо ры | избрание | выборныи | избирательныи",8.0,Сбалансирован (хороший)
140,spoken,"noun, adjective",от  speak | устный,6.0,Удовлетворительный,прич. прош. вр. от гл. speak,5.0,Недостаточен (только 1 значение),"устныи | разговорныи | англии | скии | выраженныи | словами, громкии",4.0,Удовлетворительный,от,2.0,Недостаточен (только 1 значение),от | устныи | устная речь,5.0,Удовлетворительный,"го во рить, раз го ва ри вать, ска зать | вы ска зы вать, со об щать | го во рить речь, вы сту пать (на со бра - нии | го во рить как по пи са но му | злоб но го во рить, бро сать гнев ные сло ва | лю без но го во рить с кем-ли бо",6.5,Избыточен (сильно перегружен),,0.0,Отсутствует в словаре
141,concentration,noun,концентрация; сосредоточение | сосредоточенность | крепость (раствора ) | спец. сгущение | обо-гащение руды | attr.: ~ camp кон-центрационный лагерь,10.0,Сбалансирован (идеальный порядок),сосредоточенность | концентрация,7.5,Сбалансирован (хороший),"сосредоточенность | шум с улицы мешал сосредоточиться | концентрация, сосредоточение | крепость (раствора",9.0,Сбалансирован (идеальный порядок),сосредото чение,3.5,Недостаточен (только 1 значение),концентрация | сосредоточение | сосредоточенность | крепость (раствора | спец | сгущение,10.0,Сбалансирован (идеальный порядок),кон цен т ра ция | со сре до то че - ние | со сре до то чен ность | груп пи - ров ка | кон цен т ра ци он ныи | ла герь,6.5,Сбалансирован (хороший),сосредоточение | концентра С ция | концентрацион ныи | лагерь,8.0,Сбалансирован (хороший)
