ID,Word,POS,Ideal Meanings,Oxford Data,Oxford Coincidence (%),Oxford Status,CLD Data,CLD Coincidence (%),CLD Status,Sam Data,Sam Coincidence (%),Sam Status,Muller A4 Data,Muller A4 Coincidence (%),Muller A4 Status,Muller 300k Data,Muller 300k Coincidence (%),Muller 300k Status,Shkolnik Data,Shkolnik Coincidence (%),Shkolnik Status,Muller AST Data,Muller AST Coincidence (%),Muller AST Status
145,display,"noun, verb","выставка, показ | дисплей | проявление (смеЗ лости и т. п.)","показ, демон-страция | выставка | проявление (смеЗ лости и т. п.) | выставление напо-каз; хвастовство | полигр. выделение особым шрифтом | информ. дисплей; эк-ран дисплея",96.0,Идеальное совпадение,"выставка, показ | показ, демонстрация | дисплей | выставлять (для показа) | воспроизводить на дисплее | проявлять, выказывать",77.7,Высокое совпадение,"показ, демонстрация | проявление | хвастовство | он кичился своим богатством | полигр выделение особым шрифтом | вчт дисплеи",96.0,Идеальное совпадение,"показ, демон страция | выставка | было выставлено много товаров | проявление (сме лости и т | выставление напо каз | хвастовство",77.7,Высокое совпадение,"выставлять, пока зывать | про - являть, обнаруживать | полигр | выде лятьосо бымшрифтом | показ, выставка",34.3,Низкое совпадение,"п показ, выставка | выставлять | показывать | проявлять, обнаруживать",64.3,Хорошее совпадение,"пока з, вы ставка | выставля ть | пока зывать | проявля ть, обнару живать",64.3,Хорошее совпадение
146,tendency,noun,тенденция | attr. тенденциозный | направление,"стремление, склонность, тенденция | attr. тенденциозный",77.7,Высокое совпадение,тенденция,64.3,Хорошее совпадение,тенденция | направление | фракция (политическои | партии | склонность | стремление,77.7,Высокое совпадение,"стремление, склонность, тенденция | склонность к полноте | тенденциозныи | тенден циозные статьи",77.7,Высокое совпадение,"склон - ность, тенденция | тенден - циозныи",64.3,Хорошее совпадение,,0.0,Отсутствует в словаре,"накло нность, тенде нция",64.3,Хорошее совпадение
147,survive,verb,выживать | уцелеть | пережить,"остаться в жи-вых; продолжать существовать; уце-леть | пережить (совреЗ менников, свою славу и т. п. ) | пережить, выдержать, перенести",19.3,Низкое совпадение,выживать | уцелеть | пережить,100.0,Идеальное совпадение,"остаться в живых, уцелеть | пережить (современников, славу",57.7,Хорошее совпадение,остаться в жи вых | продолжать существовать | уце леть | этот обычаи | еще | существует,19.3,Низкое совпадение,"пережить (со - времен ников, своюславуит | пережить, выдержать, перенес - ти | остатьсяв живых",44.3,Частичное совпадение,"пережить, вы жить",44.3,Частичное совпадение,"пережи ть, вы жить",44.3,Частичное совпадение
148,abolish,verb,отменять,"отменять, уничтожать, упразднять (обычаи, учреждения )",100.0,Идеальное совпадение,отменять,100.0,Идеальное совпадение,"отменять, упразднять",100.0,Идеальное совпадение,"отменять, уничтожать, упразднять (обычаи, учреждения",100.0,Идеальное совпадение,"отменять, уничто - жать, упра зднять (обычаи, учреж - дения",100.0,Идеальное совпадение,отменять | уп разднять,100.0,Идеальное совпадение,отменя ть | упраздня ть,100.0,Идеальное совпадение
149,working,"adjective, noun","связанный с работой | ствие, функционирование","работа, действие; деятель-ность; практика | эксплуатация; разработка | обработка | pl горн. выработки | работающий, рабочий | отведённый для работы",47.0,Частичное совпадение,связанный с работой,71.0,Хорошее совпадение,"работа, деи | ствие, функционирование | работа человеческого мозга | обработка | эксплуатация | горн выработки",22.0,Низкое совпадение,"от | работа, деи | ствие | деятель ность | практика | эксплуатация",22.0,Низкое совпадение,"взятьсязаработу | заго релосьвкухне | учреждать, открывать (предприятиеит | помо гатькому-либо начатьдело | рабо - тающии | рабочии",2.0,Низкое совпадение,,0.0,Отсутствует в словаре,рабо тающии | рабо чии,6.0,Низкое совпадение
150,magazine,noun,журнал | поро-ховой погреб | магазинная коробка (винтовки ); магазин ( для патро-нов ) | периодическое издание,склад бо-еприпасов; вещевой склад | поро-ховой погреб | магазинная коробка (винтовки ); магазин ( для патро-нов ) | кино бобина | фото кассета | магазин,26.0,Низкое совпадение,журнал,61.0,Хорошее совпадение,"журнал | периодическое издание | телеили радиопрограмма, состоящая из коротких документальных эпизодов | пистолетная обои | ма | магазин (для патронов",81.0,Высокое совпадение,склад бо еприпасов | вещевои | склад | поро ховои | погреб | магазинная коробка (винтовки,26.0,Низкое совпадение,воен | складбоепри пасов | вещевои | склад | поро ховои | погреб,16.0,Низкое совпадение,журнал,61.0,Хорошее совпадение,журна л,61.0,Хорошее совпадение
151,significant,adjective,"важный, значительный | многозначительный; вырази-тельный","значи-тельный, показательный, существен-ный | многозначительный; вырази-тельный | важный, знаменательный | значимый ( о суффиксе и т. п. )",84.0,Высокое совпадение,"важный, значительный",71.0,Хорошее совпадение,,0.0,Отсутствует в словаре,значи тельныи | показательныи | существен ныи | многозначительныи | вырази тельныи | важныи,80.0,Высокое совпадение,много значи тельныи | знамена - тельныи | важныи | значимыи | осуф фиксеит,84.0,Высокое совпадение,важ ныи | существенныи,71.0,Хорошее совпадение,ва жныи | суще ственныи | значи тельное коли чество вре мени,71.0,Хорошее совпадение
152,allocation,noun,"ассигнование | выделение (денег, времени и т. д.) | отчисление","размеще-ние, распределение | назначение; ассигнование | локализация, уста-новление места",41.3,Частичное совпадение,"ассигнование | выделение (денег, времени и т. д.)",77.7,Высокое совпадение,ассигнование | отчисление | распределение фондов,77.7,Высокое совпадение,"размеще ние, распределение | назначение | ассигнование | локализация, уста новление места",34.3,Низкое совпадение,"раз - мещение, распределение | назна - чение",6.0,Низкое совпадение,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре
153,conservation,noun,охрана природы | сохранение | сохра-нение | консервирование ( пло-дов),ох-рана окружающей среды | сохра-нение | консервирование ( пло-дов) | заповедник,26.0,Низкое совпадение,охрана природы | сохранение,71.0,Хорошее совпадение,"охрана природы, окружающеи | среды | рациональное природопользование | экономия, экономное использование (ресурсов | физ сохранение (энергии, момента и т п | сохранение энергии",71.0,Хорошее совпадение,ох рана окружающеи | среды | сохра нение | физ | сохранение энергии | консервирование (пло дов,96.0,Идеальное совпадение,"сохра нение, охрана | запо - ведник",71.0,Хорошее совпадение,сохранение,41.0,Частичное совпадение,сохране ние,41.0,Частичное совпадение
154,november,noun,ноябрь | attr. ноябрьский | пятого ноября,ноябрь | attr. ноябрьский,77.7,Высокое совпадение,ноябрь,64.3,Хорошее совпадение,ноябрь | пятого ноября,77.7,Высокое совпадение,ноябрь | ноябрьскии,77.7,Высокое совпадение,ноябрь | ноябрьскии,77.7,Высокое совпадение,но ябрь,64.3,Хорошее совпадение,ноя брь,64.3,Хорошее совпадение
155,layer,"noun, verb",слой | отводок | разрез (чертежа ) | пласт,"слой, пласт; на-слоение | отводок | разрез (чертежа ) | наслаивать, класть пластами | разводить отводками | кладчик, укладчик",96.0,Идеальное совпадение,слой,61.0,Хорошее совпадение,слои | пласт | ряд | озоновыи | несушка (курица | отводок,81.0,Высокое совпадение,"слои | пласт | на слоение | отводок | разрез (чертежа | наслаивать, класть пластами",96.0,Идеальное совпадение,"кладущии | укладывающии | что-либо, напр",6.0,Низкое совпадение,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре
156,gift,"noun, verb","подарок | дарование, способность | право распределять (приЗ ходы, должности )","подарок, дар; I would not take (или have) it at a ~ ≅ я этого и даром не возьму | способность, дарование; талант (of); the ~ of tongues (или | право распределять (приЗ ходы, должности ) | лёгкое задание, «подарок» | дарить | одарять, наделять",96.0,Идеальное совпадение,"подарок | дарование, способность",77.7,Высокое совпадение,"подарок, дар | /дарить подарок | дарование | талант | способность | у него способности к языкам",77.7,Высокое совпадение,"подарок, дар | или | я этого и даром не возьму | способность, дарование | талант | бои",77.7,Высокое совпадение,"подарок, дар | способ ность, талант | дарить | перен | дарить, на - делять",64.3,Хорошее совпадение,подарок | дар | одаре | нныи,64.3,Хорошее совпадение,пода рок | дар,64.3,Хорошее совпадение
157,bizarre,adjective,эксцентричный | странныи,"странный, причудли-вый, эксцентричный",100.0,Идеальное совпадение,эксцентричный,71.0,Хорошее совпадение,странныи,51.0,Частичное совпадение,странныи | причудли выи | эксцентричныи,88.0,Высокое совпадение,странныи | при - чудливыи | эксцентричныи,88.0,Высокое совпадение,,0.0,Отсутствует в словаре,стра нныи | зага дочныи,51.0,Частичное совпадение
158,glorious,adjective,"изумительный, великолепный | славный, достойный восхищения | в приподнятом настроении; подвыпивший | прекрасныи","славный; зна-менитый | великолепный, чудес-ный, восхитительный ( тж. ) | в приподнятом настроении; подвыпивший",76.0,Высокое совпадение,"изумительный, великолепный | славный, достойный восхищения",71.0,Хорошее совпадение,великолепныи | прекрасныи | чудесная летняя погода | знаменитыи,71.0,Хорошее совпадение,славныи | зна менитыи | великолепныи | чудес ныи | восхитительныи | ирон,61.0,Хорошее совпадение,славныи | ве - лико лепныи,41.0,Частичное совпадение,славныи | великолепныи,66.0,Хорошее совпадение,сла вныи | великоле пныи,66.0,Хорошее совпадение
159,unacceptable,adjective,неприемлемый,непри-емлемый,6.0,Низкое совпадение,неприемлемый,100.0,Идеальное совпадение,неприемлемыи | совершенно неприемлемыи,100.0,Идеальное совпадение,непри емлемыи,6.0,Низкое совпадение,неприемлемыи | непри ятныи | неже лательныи,96.0,Идеальное совпадение,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре
160,chest,noun,"грудь, грудная клетка | сундук | казначейство; каз-на; фонд | ящик",ящик; сундук | грудная клетка | казначейство; каз-на; фонд,93.0,Идеальное совпадение,"грудь, грудная клетка | сундук",71.0,Хорошее совпадение,"грудная клетка, грудь | ящик | сундук | казна, казначеи | ство | фонд",96.0,Идеальное совпадение,ящик | сундук | комод | домашняя аптечка | грудная клетка | слабые ле,71.0,Хорошее совпадение,ящик | сундук | низкая груднаянота | комод | груднои | низкии,51.0,Частичное совпадение,сундук | ящик | комод | грудь,71.0,Хорошее совпадение,сунду к | я щик | комо д | грудь,71.0,Хорошее совпадение
161,shortage,noun,нехватка | дефицит,"нехватка, недо-статок; дефицит",100.0,Идеальное совпадение,нехватка,71.0,Хорошее совпадение,нехватка | дефицит,100.0,Идеальное совпадение,"нехватка, недо статок | дефицит",100.0,Идеальное совпадение,"нехватка, недо - статок | дефицит",100.0,Идеальное совпадение,недостаток (в че | мл,6.0,Низкое совпадение,недоста ток (в че | м-л,6.0,Низкое совпадение
162,build,"noun, verb",строить | создавать | телосложение | кон-струкция; форма; стиль,"телосложение | кон-струкция; форма; стиль | текст. об-разование (початка) | строить, сооружать | создавать | вить ( гнёзда)",84.0,Высокое совпадение,строить | создавать | телосложение,81.0,Высокое совпадение,"телосложение | крепкое телосложение | форма, стиль | строение, конструкция | строить(ся), сооружать(ся | создавать",84.0,Высокое совпадение,телосложение | кон струкция | форма | стиль | текст | об разование (початка,51.0,Частичное совпадение,"строить, со - оружать | создавать | вить (гнезда | осно вываться, пола гаться | вделывать, вмуро выватьвстену | воздвигать",71.0,Хорошее совпадение,"стро ить | строитель | строение, зда ние",61.0,Хорошее совпадение,стро ить,61.0,Хорошее совпадение
163,symbol,noun,"символ | знак, условное обозначение","символ, эмблема | обозначение, знак symbolic(al) [s/G02m/G01b/G0El/G02k(l)] a символи-ческий",100.0,Идеальное совпадение,"символ | знак, условное обозначение",100.0,Идеальное совпадение,"символ, эмблема | знак, условное обозначение",100.0,Идеальное совпадение,"символ, эмблема | обозначение, знак | символи ческии",100.0,Идеальное совпадение,"символ, эмб - лема | обозна чение, знак",100.0,Идеальное совпадение,"символ, знак",100.0,Идеальное совпадение,"си мвол, знак",100.0,Идеальное совпадение
164,county,noun,графство | жители графства или округа,графство (адмиЗ нистративная единица в Англии ); округ (в США ) | жители графства или округа | attr. относящийся к графству или округу; окружной,100.0,Идеальное совпадение,графство,71.0,Хорошее совпадение,графство | округ,100.0,Идеальное совпадение,графство (адми нистративная единица в Англии | округ (в США | жители графства или округа | относящии | ся к графству или округу | окружнои,92.0,Идеальное совпадение,графство,71.0,Хорошее совпадение,графство,71.0,Хорошее совпадение,гра фство,6.0,Низкое совпадение
165,creativity,noun,"творчество | творческие способности, способность к созданию",творчество,71.0,Хорошее совпадение,,0.0,Отсутствует в словаре,"творческие способности, способность к созданию",51.0,Частичное совпадение,творчество,71.0,Хорошее совпадение,способ - ностьк творчеству,71.0,Хорошее совпадение,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре
166,seek,verb,"искать | пытаться, добиваться | до-биваться, стремиться | просить, обращаться","искать, ра-зыскивать; разузнавать | до-биваться, стремиться | просить, обращаться",81.0,Высокое совпадение,"искать | пытаться, добиваться",71.0,Хорошее совпадение,"искать, разыскивать | пытаться наи | ти | добиваться | добиваться решения | пытаться, стараться",71.0,Хорошее совпадение,"искать, ра зыскивать | разузнавать | искать убежища | причину нетрудно наи | ти | до биваться, стремиться",71.0,Хорошее совпадение,"искать, разыскивать",61.0,Хорошее совпадение,"искать | пытаться, старать ся",71.0,Хорошее совпадение,"иска ть | пыта ться, стара ться",71.0,Хорошее совпадение
167,tide,"noun, verb","прилив и отлив | увеличение | поток, течение, направление | волна","морской прилив и отлив | поток, течение, направление | волна | время, пора , пе-риод | поток, море | ~ over преодолевать",81.0,Высокое совпадение,прилив и отлив | увеличение,71.0,Хорошее совпадение,"морскои | прилив и отлив | начался прилив | волна | течение, ход дел | время",58.0,Хорошее совпадение,"морскои | прилив и отлив | полная (малая) вода | поток, течение, направление | события принимают инои | оборот",48.0,Частичное совпадение,высшая точка прилива | боль - шои | сильныи | ветер | фугас наябомба | превос ходныи,61.0,Хорошее совпадение,прилив и отлив,61.0,Хорошее совпадение,прили в и отли в,61.0,Хорошее совпадение
168,divorced,adjective,"разведенный | оторванный, не связанный (от чего-либо)","разведённый | оторванный, не связанный (от чего-либо)",26.0,Низкое совпадение,разведенный,71.0,Хорошее совпадение,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре
169,huge,adjective,огромный | громадныи,"огромный, громадный, гигантский",100.0,Идеальное совпадение,огромный,71.0,Хорошее совпадение,огромныи | громадныи | гигантскии | колоссальныи | огромное здание,96.0,Идеальное совпадение,огромныи | громадныи | гигантскии,100.0,Идеальное совпадение,огромныи | громад - ныи | гигантскии,71.0,Хорошее совпадение,огромныи | гро мадныи,71.0,Хорошее совпадение,огро мныи | грома дныи,100.0,Идеальное совпадение
170,supportive,adjective,"оказывающий поддержку, верный | поддерживающии | подпирающии","ободряющий, поддерживающий",44.3,Частичное совпадение,"оказывающий поддержку, верный",64.3,Хорошее совпадение,поддерживающии | подпирающии | вспомогательныи,57.7,Хорошее совпадение,,0.0,Отсутствует в словаре,ободряю - щии | поддерживающии,19.3,Низкое совпадение,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре
171,prospective,adjective,"относя-щийся к будущему, касающийся бу-дущего | будущий; ожидаемый; предполагаемый","относя-щийся к будущему, касающийся бу-дущего | будущий; ожидаемый; предполагаемый",100.0,Идеальное совпадение,,0.0,Отсутствует в словаре,будущии | ожидаемыи | предполагаемыи | возможныи | вероятныи,51.0,Частичное совпадение,"относя щии | ся к будущему, касающии | ся бу дущего | будущии | ожидаемыи | предполагаемыи",67.0,Хорошее совпадение,буду - щии | ожидаемыи,100.0,Идеальное совпадение,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре
172,father,"noun, verb","отец | становиться отцом | предок, родона-чальник, прародитель | он похож на отца","отец, родитель | приёмный отец, усыновитель (тж. adoptive ~) | предок, родона-чальник, прародитель | создатель, творец; вдохновитель | покрови-тель; заступник, «отец родной» | духовный отец, епископ",71.0,Хорошее совпадение,отец | становиться отцом,71.0,Хорошее совпадение,"отец | он похож на отца | заступник, защитник, благодетель | создатель, творец | прародитель | стареи",81.0,Высокое совпадение,"отец, родитель | отец внебрачного ребе | нка | прие | мныи | отец, усыновитель",61.0,Хорошее совпадение,"отец, родитель, осно ватель, творец | названыи | отец | свекор (отецму - жа | тесть (отецжены | передаи",61.0,Хорошее совпадение,отец | тесть | све | кор,61.0,Хорошее совпадение,оте ц,61.0,Хорошее совпадение
173,tend,verb,"ухаживать, заботиться | иметь склон-ность (к чемуЗл. ) | направляться; вестив определён-ном направлении (о дороге, курсе и т. п. ) | быть склонным","иметь тенденцию ( к чему-л.); клониться (к чему-л.) | иметь склон-ность (к чемуЗл. ) | направляться; вестив определён-ном направлении (о дороге, курсе и т. п. ) | заботиться (о ком-л.); ухаживать (за больным, за растениями и т. п. ) | обслуживать",71.0,Хорошее совпадение,"ухаживать, заботиться",61.0,Хорошее совпадение,"быть склонным | она довольно рассеянна | иметь тенденцию | идти, вести (о дороге и т п | ухаживать, заботиться | уделять внимание, заниматься (с кем-л",71.0,Хорошее совпадение,"иметь тенденцию (к чемул | клониться (к чемул | вероятно, к ночи похолодает | иметь склон ность (к чемул | он склонен (все | преувеличивать",41.0,Частичное совпадение,"направ ляться | вестикчему-либо | клониться | иметь склон ность, тенденцию | сокр | от",16.0,Низкое совпадение,"склоняться | наклон ность, тенденция",16.0,Низкое совпадение,склоня ться,6.0,Низкое совпадение
174,exotic,"adjective, noun","экзотический | экзотическое растение, экзот | иностранное слово (в языке )","экзотический; иноземный | экзотическое растение, экзот | иностранное слово (в языке )",100.0,Идеальное совпадение,экзотический,64.3,Хорошее совпадение,"экзот, экзотическое растение | экзотическое существо | странныи | необычныи | человек ( о женщине | иностранное слово (в языке",57.7,Хорошее совпадение,"экзотическии | иноземныи | экзотическое растение, экзот | иностранное слово (в языке",100.0,Идеальное совпадение,экзотическии | иноземныи | экзотиче скоерас - тение илислово,64.3,Хорошее совпадение,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре
175,lens,noun,"линза, объектив | геол. чечевице-образная залежь","линза, че-чевица, оптическое стекло; лупа; объектив | хрусталик глаза (тж. crystalline ~) | геол. чечевице-образная залежь",100.0,Идеальное совпадение,"линза, объектив | хрусталик глаза",71.0,Хорошее совпадение,"линза, оптическое стекло | объектив | лупа | контактная линза | анат хрусталик глаза",71.0,Хорошее совпадение,"линза, че чевица, оптическое стекло | лупа | объектив | анат | хрусталик глаза | геол",92.0,Идеальное совпадение,физ | линза | анат | хру - ста ликглаза | фот | объектив,44.0,Частичное совпадение,линза,71.0,Хорошее совпадение,ли нза,71.0,Хорошее совпадение
176,pleasant,adjective,приятный | милый | шутли-вый,"приятный | милый, славный | шутли-вый",100.0,Идеальное совпадение,приятный | милый,77.7,Высокое совпадение,приятныи | милыи | славныи | симпатичныи,77.7,Высокое совпадение,приятныи | милыи | славныи | шутли выи,77.7,Высокое совпадение,приятныи | милыи,77.7,Высокое совпадение,приятныи,64.3,Хорошее совпадение,прия тныи,64.3,Хорошее совпадение
177,oral,"adjective, noun","устный | оральный, для внутреннего употребления | словесныи","устный; словесный | стоматический, оральный | устный экзамен",100.0,Идеальное совпадение,"устный | оральный, для внутреннего употребления | устный экзамен",77.7,Высокое совпадение,устныи | словесныи | устное сообщение | анат ротовои | оральныи | противозачаточная таблетка,96.0,Идеальное совпадение,устныи | словесныи | стоматическии | оральныи | экзамен,96.0,Идеальное совпадение,ныи | словес - ныи | стоматическии | оральныи | экза - мен,19.3,Низкое совпадение,устныи,64.3,Хорошее совпадение,у стныи,6.0,Низкое совпадение
178,recall,"noun, verb","припоминать | отзывать (посла, депутата) | воспоминание, память","призыв вернуть-ся | воспоминание, память | ото-звание, отзыв (депутата, посла и т. п.) | сигнал к возвраще-нию | вызов исполнителя на бис | призывать обратно",32.7,Низкое совпадение,"припоминать | отзывать (посла, депутата)",77.7,Высокое совпадение,"воспоминание | память | отозвание, отзыв (депутата, посла и т п | призыв вернуться | вспоминать, припоминать | напоминать, вызывать в памяти",84.0,Высокое совпадение,"призыв вернуть ся | воспоминание, память | ото звание, отзыв (депутата, посла и т | сигнал к возвраще нию | театр | вызов исполнителя на бис",32.7,Низкое совпадение,"призы ватьоб - ратно | вызывать (изза думчивости | отзывать (депутата, должно стноелицо | вспоминать (сказанное | напо минать, воскрешать (впамя - ти | отменять (приказит",19.3,Низкое совпадение,"отзывать | отменять | вспоминать | п отозвание (представителя, посланника и т",44.3,Частичное совпадение,"отзыва ть | отменя ть | вспомина ть | отозва ние (представителя, посланника и т п",44.3,Частичное совпадение
179,strength,noun,"сила | могущество | сила воли, решительность | прочность; крепость","сила | прочность; крепость | сопротивление | не-приступность | численность, чис-ленный состав",71.0,Хорошее совпадение,"сила | могущество | сила воли, решительность | достоинство, сильная сторона | стабильность, устойчивость",81.0,Высокое совпадение,"сила | прочность | крепость | сопротивление материалов | сильная сторона, достоинство | эффективность (движения, деи",71.0,Хорошее совпадение,сила | сила духа | прочность | крепость | сопротивление | сопротивление материалов,71.0,Хорошее совпадение,числен ностьар миимирного времени | сила,38.0,Частичное совпадение,сила | усиливать(ся | крепить,61.0,Хорошее совпадение,"си ла | уси ливать(ся | крепи ть, укрепля ть",61.0,Хорошее совпадение
180,reproduce,verb,"воспроизводить | размножаться, плодиться | производить, порождать | делать копию","воспроиз-водить | производить, порождать | делать копию | восстанавливать",26.0,Низкое совпадение,"воспроизводить | размножаться, плодиться",71.0,Хорошее совпадение,"воспроизводить, репродуцировать | производить, порождать | восстанавливать | возобновлять постановку (спектакля",71.0,Хорошее совпадение,"воспроиз водить | возобновить по становку | производить, порождать | размножаться | делать копию | восстанавливать",36.0,Частичное совпадение,вос)про - изводить | возоб новить поста новку | размножать(ся,6.0,Низкое совпадение,вос производить,41.0,Частичное совпадение,воспроизводи ть,61.0,Хорошее совпадение
181,coordination,noun,координация | грам. сочинение,ко-ординация; согласование | грам. сочинение,26.0,Низкое совпадение,координация,71.0,Хорошее совпадение,"координирование, координация, согласование",71.0,Хорошее совпадение,"комплект одежды (составляю щии | один ансамбль | координировать, устанавливать правильное соотно шение | согласовывать | ко ординация | согласование",2.0,Низкое совпадение,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре,координа ция,71.0,Хорошее совпадение
182,guest,noun,гость | постоялец | паразит (жиЗ вотное или растение ) guestпchamber [/G05/G02est/G03t/G0Be/G06mb/G04] = guest-room,гость | постоялец (в гостинице ) | паразит (жиЗ вотное или растение ) guestпchamber [/G05/G02est/G03t/G0Be/G06mb/G04] = guest-room,100.0,Идеальное совпадение,гость | постоялец | гость (программы),77.7,Высокое совпадение,"гость | постоялец (в гостинице | деи | ствуи | те, прошу вас | гостевои",77.7,Высокое совпадение,гость | постоялец (в гостинице | жилец в частном пансионе | паразит (жи вотное или растение,100.0,Идеальное совпадение,гость | пансионер | постоялец (вгости - нице,77.7,Высокое совпадение,гость,64.3,Хорошее совпадение,гость,64.3,Хорошее совпадение
183,forever,adverb,"навсегда, вечно | невероятно долго",постоянно; беспрестанно | навсегда,48.0,Частичное совпадение,"навсегда, вечно | невероятно долго | вечно",100.0,Идеальное совпадение,"навсегда, навечно, навеки | на веки вечные | беспрестанно | все | время",71.0,Хорошее совпадение,постоянно | беспрестанно | навсегда,41.0,Частичное совпадение,постоянно | беспрестанно | навсегда,41.0,Частичное совпадение,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре
184,boy,noun,мальчик | здорово! | парень; моло-дой человек | сын,мальчик | парень; моло-дой человек | сын | бой ( слугаЗ туземец на Востоке ) | юнга | б) ге-роин,81.0,Высокое совпадение,мальчик | здорово!,71.0,Хорошее совпадение,"мальчик | парень | старина, старик, дружище | сын | юнга | бои",81.0,Высокое совпадение,"мальчик | парень | моло дои | человек | братец, дру жище, старина | сын",81.0,Высокое совпадение,мальчик | парень | школьник | молодои | человек | сын,81.0,Высокое совпадение,мальчик,61.0,Хорошее совпадение,ма льчик,6.0,Низкое совпадение
185,message,"noun, verb","сообщение, записка | идейное содержание, основная мысль | официальное пра-вительственное послание; по-слание президента конгрессу (тж. the President's ~ to Congress) | донесение","сообщение, донесение; письмо; послание; про-поведь | официальное пра-вительственное послание; по-слание президента конгрессу (тж. the President's ~ to Congress) | по-ручение; миссия | идея (книги и т. п. ) | посылать сообщение, доне-сение | передавать сигналами, сиг-нализировать",81.0,Высокое совпадение,"сообщение, записка | идейное содержание, основная мысль | отправлять сообщение (по электронной почте, с мобильного телефона)",81.0,Высокое совпадение,"сообщение, письмо | донесение | послание | оставить (кому-л) сообщение | передавать письмо | официальное (правительственное) послание",81.0,Высокое совпадение,"сообщение, донесение | письмо | послание | про поведь | известите меня | просить передать чтол",81.0,Высокое совпадение,"сооб щение, доне сение | письмо | послание | пору чение | миссия | ам",16.0,Низкое совпадение,сообще ние | послание | поруче ние,71.0,Хорошее совпадение,сообще ние | посла ние | поруче ние,71.0,Хорошее совпадение
186,altogether,adverb,совсем | всего | в целом | обнаже,"впол-не, всецело, совершенно | в общем, в целом | всего",26.0,Низкое совпадение,совсем | всего | в целом,81.0,Высокое совпадение,"целое, совокупность | обнаже | нная модель | вполне, совсем, совершенно | в общем, в целом, учитывая все | в общем они прекрасно ладили",71.0,Хорошее совпадение,"впол не, всецело, совершенно | со вершенно негодныи | в общем, в целом | всего | обнаже | нная модель",36.0,Частичное совпадение,"вполне, всецело, вобщем | навсегда",6.0,Низкое совпадение,совсем,61.0,Хорошее совпадение,совсе м,61.0,Хорошее совпадение
